Manager.getProductById,2019-04-24 19:40:29.698
Manager.getProductById,2019-04-24 19:40:29.698
Manager.getClientById,2019-04-24 19:40:29.698
Manager.getProductById,2019-04-24 19:40:29.698
Manager.getClientById,2019-04-24 19:40:29.698
Manager.getProductById,2019-04-24 19:40:29.698
Manager.setStoreName,2019-04-24 19:40:58.217
Manager.printProducts,2019-04-24 19:40:58.248
Manager.printClients,2019-04-24 19:40:58.267
Manager.getProductById,2019-04-24 19:40:58.268
Manager.getClientById,2019-04-24 19:40:58.287
Manager.getProductById,2019-04-24 19:40:58.287
Manager.getProductById,2019-04-24 19:40:58.287
Manager.getProductById,2019-04-24 19:40:58.287
Manager.getProductById,2019-04-24 19:40:58.287
Manager.getClientById,2019-04-24 19:40:58.287
Manager.getProductById,2019-04-24 19:40:58.287
Manager.getClientById,2019-04-24 19:40:58.287
Manager.getProductById,2019-04-24 19:40:58.287
Manager.printInvoices,2019-04-24 19:40:58.287
Manager.setStoreName,2019-04-24 19:41:40.4
Manager.printProducts,2019-04-24 19:41:40.429
Manager.printClients,2019-04-24 19:41:40.429
Manager.getProductById,2019-04-24 19:41:40.429
Manager.getClientById,2019-04-24 19:41:40.46
Manager.getProductById,2019-04-24 19:41:40.46
Manager.getProductById,2019-04-24 19:41:40.46
Manager.getProductById,2019-04-24 19:41:40.46
Manager.getProductById,2019-04-24 19:41:40.46
Manager.getClientById,2019-04-24 19:41:40.46
Manager.getProductById,2019-04-24 19:41:40.46
Manager.getClientById,2019-04-24 19:41:40.46
Manager.getProductById,2019-04-24 19:41:40.46
Manager.printInvoices,2019-04-24 19:41:40.46
Manager.setStoreName,2019-04-24 19:41:47.918
Manager.printProducts,2019-04-24 19:41:47.949
Manager.printClients,2019-04-24 19:41:47.967
Manager.getProductById,2019-04-24 19:41:47.968
Manager.getClientById,2019-04-24 19:41:47.994
Manager.getProductById,2019-04-24 19:41:47.994
Manager.getProductById,2019-04-24 19:41:47.994
Manager.getProductById,2019-04-24 19:41:47.994
Manager.getProductById,2019-04-24 19:41:47.994
Manager.getClientById,2019-04-24 19:41:47.994
Manager.getProductById,2019-04-24 19:41:47.994
Manager.getClientById,2019-04-24 19:41:47.994
Manager.getProductById,2019-04-24 19:41:47.994
Manager.printInvoices,2019-04-24 19:41:47.994
Manager.setStoreName,2019-04-24 19:42:09.705
Manager.printProducts,2019-04-24 19:42:09.742
Manager.printClients,2019-04-24 19:42:09.753
Manager.getProductById,2019-04-24 19:42:09.754
